"location","area","unit","bedrooms","bathrooms_w_cs","floor_area","no_of_floors","car_parking_spaces","availability","price","district"
"kandy",40,"perches","4",2,4600,1,"5","Available now",36,"Kandy"
"kandy",12.5,"perches","5",5,4500,3,"1","Available now",90,"Kandy"
"pita kotte",23,"perches","4",4,4500,3,"6","Available now",130,"Colombo"
"gampaha",15,"perches","4",3,4650,3,"2","For Urgent Sale",70,"Gampaha"
"athurugiriya",8,"perches","5",3,3000,3,"2","Sold",19.5,"Colombo"
"battaramulla",10.5,"perches","4",3,3700,2,"3","Available now",42.5,"Colombo"
"nugegoda",15,"perches","5",3,3500,3,"6","Available now",35,"Colombo"
"nugegoda",36.5,"perches","4",2,2000,1,"6","Available now",65,"Colombo"
"boralesgamuwa",15,"perches","5",5,3854,2,"4","Available now",48,"Colombo"
"pelawatte",NA,NA,"4",4,3500,2,"2","Available now",38.5,"Colombo"
"malabe",NA,NA,"5",4,3200,2,"None","Available now",36.5,"Colombo"
"malabe",NA,NA,"above 5",4,3200,3,"2","Available now",27.5,"Colombo"
"athurugiriya",12.85,"perches","5",4,5500,2,"4","Available now",49.8,"Colombo"
"arangala",8,"perches","3",2,1850,2,"2","Available now",17,"Colombo"
"pelawatte",7.2,"perches","4",4,3500,3,"2","Available now",38.5,"Colombo"
"athurugiriya",NA,NA,"4",4,3000,2,"2","Available now",27.5,"Colombo"
"piliyandala",10,"perches","4",4,3400,2,"4","Available now",27,"Colombo"
"thalawathugoda",10.5,"perches","4",4,3000,2,"3","Available now",39,"Colombo"
"athurugiriya",6,"perches","3",3,1850,2,"2","Available now",16,"Colombo"
"pelawatte",NA,NA,"3",3,2300,2,"3","Available now",26.5,"Colombo"
"athurugiriya",10.5,"perches","3",3,NA,NA,"3","Available now",16.5,"Colombo"
"athurugiriya",10.5,"perches","3",3,NA,NA,"None","Available now",16.5,"Colombo"
"malabe",NA,NA,"3",2,1745,NA,"2","Available now",17,"Colombo"
"nugegoda",12,"perches","5",5,4100,3,"6","Available now",65,"Colombo"
"pelawatte",7.2,"perches","4",4,3500,2,"2","Available now",38.5,"Colombo"
"pelawatte",9,"perches","4",4,3800,2,"2","Available now",42.5,"Colombo"
"maharagama",15,"perches","5",5,4500,3,"5","Available now",42.5,"Colombo"
"malabe",NA,NA,"above 5",4,3200,3,"None","Available now",27.5,"Colombo"
"piliyandala",NA,NA,"4",3,NA,2,"2","Available now",22,"Colombo"
"piliyandala",10,"perches","3",2,2000,NA,"3","Available now",11,"Colombo"
"moratuwa",20,"perches","5",4,3400,2,"6","Available now",21.5,"Colombo"
"pelawatte",NA,NA,"4",4,3800,2,"3","Available now",65,"Colombo"
"wijerama",12,"perches","5",5,4100,3,"6","For Urgent Sale",65,"Colombo"
"kotagedara",NA,NA,"3",3,NA,NA,"None","Available now",16,"Galle"
"kesbewa",10,"perches","4",4,4200,2,"3","Available now",27,"Colombo"
"arangala",7,"perches","3",3,NA,2,"2","Available now",17,"Colombo"
"battaramulla",NA,NA,"3",3,NA,2,"3","Available now",26.5,"Colombo"
"piliyandala",NA,NA,"4",4,3200,2,"2","Available now",26,"Colombo"
"athurugiriya",9,"perches","4",3,3100,2,"3","Available now",27.5,"Colombo"
"panadura",29,"perches","3",2,NA,NA,"6","Available now",16.5,"Kalutara"
"panadura",10,"perches","3",2,NA,NA,"None","Available now",14,"Kalutara"
"panadura",700,"perches","4",3,2300,NA,"6","Available now",120,"Kalutara"
"panadura",7,"perches","3",1,NA,NA,"3","Available now",6.5,"Kalutara"
"panadura",10,"perches","3",1,NA,NA,"None","Available now",7.5,"Kalutara"
"panadura",10,"perches","3",1,NA,NA,"3","Available now",7.5,"Kalutara"
"piliyandala",15,"perches","5",4,3200,2,"None","Available now",28,"Colombo"
"piliyandala",10,"perches","4",4,300,2,"3","Available now",27.5,"Colombo"
"athurugiriya",12.85,"perches","4",2,NA,2,"4","Available now",35,"Colombo"
"akuregoda",7.8,"perches","4",3,2750,2,"2","Available now",27.8,"Colombo"
"pittugala",11.5,"perches","3",3,2000,NA,"2","Available now",17.8,"Colombo"
"piliyandala",NA,NA,"4",4,2750,2,"2","Available now",22.5,"Colombo"
"maharagama",10,"perches","4",4,3200,2,"3","Available now",53,"Colombo"
"maharagama",10,"perches","4",4,NA,2,"3","Available now",53,"Colombo"
"kesbewa",10.5,"perches","4",4,3000,2,"3","Available now",27.5,"Colombo"
"maharagama",10,"perches","4",4,3200,2,"3","Available now",53,"Colombo"
"piliyandala",7,"perches","4",4,3100,2,"2","Available now",31,"Colombo"
"piliyandala",9,"perches","4",4,3200,3,"2","Available now",31,"Colombo"
"piliyandala",10,"perches","4",4,3200,2,"3","Available now",26.5,"Colombo"
"athurugiriya",10,"perches","3",3,2000,NA,"3","Available now",17.5,"Colombo"
"ratnapura",13,"perches","3",1,1000,NA,"2","Available now",9.5,"Ratnapura"
"pannipitiya",16.01,"perches","2",2,2700,NA,"None","Available now",25,"Colombo"
"alawathugoda",150,"perches","above 5",2,2500,2,"None","Available now",40,"Kandy"
"battaramulla",10,"perches","4",3,5000,NA,"None","Available now",42,"Colombo"
"battaramulla",4,"perches","1",1,4089,NA,"None","Available now",14,"Colombo"
"battaramulla",15,"perches","5",3,4000,NA,"None","Available now",56,"Colombo"
"athurugiriya",6,"perches","2",1,1400,NA,"None","Available now",15,"Colombo"
"boralesgamuwa",7.5,"perches","5",3,2500,NA,"None","Available now",35,"Colombo"
"battaramulla",7.3,"perches","4",3,2700,2,"2","Available now",30,"Colombo"
"thalawathugoda",8,"perches","4",3,3500,2,"2","Available now",42.5,"Colombo"
"malabe",10.44,"perches","above 5",4,3250,NA,"4","Available now",30,"Colombo"
"colombo 3",20.5,"perches","4",4,NA,NA,"2","Available now",328,"Colombo"
"moratuwa",34.2,"perches","5",3,2500,NA,"None","Available now",45,"Colombo"
"mount lavinia",15,"perches","above 5",5,2500,NA,"None","Available now",45,"Colombo"
"pannipitiya",12,"perches","4",3,2750,NA,"None","Available now",27,"Colombo"
"maharagama",8.5,"perches","4",4,700,NA,"None","Available now",17,"Colombo"
"battaramulla",6,"perches","4",3,2700,NA,"None","Available now",38.5,"Colombo"
"nugegoda",6,"perches","4",2,2354,NA,"None","Available now",40,"Colombo"
"colombo 5",8,"perches","4",3,2750,2,"1","Available now",70,"Colombo"
"kottawa",18.5,"perches","3",2,1800,NA,"None","Available now",31.5,"Colombo"
"dehiwala",30,"perches","4",3,3500,NA,"None","Available now",125,"Colombo"
"dehiwala",9.4,"perches","3",2,2500,NA,"None","Available now",65,"Colombo"
"rathmalana",4,"perches","5",2,1089,NA,"None","Available now",17,"Colombo"
"nugegoda",9,"perches","above 5",4,2300,NA,"None","Available now",42,"Colombo"
"thalawathugoda",50.2,"perches","4",5,3000,2,"4","Available now",110,"Colombo"
"thalawathugoda",50.17,"perches","4",3,3000,NA,"None","Available now",110,"Colombo"
"pita kotte",8,"perches","5",3,2500,NA,"2","Available now",45,"Colombo"
"pita kotte",14,"perches","3",NA,NA,NA,"None","Available now",70,"Colombo"
"kalubowila",10,"perches","3",2,NA,NA,"None","Available now",30,"Colombo"
"kandy",15,"perches","4",3,3500,2,"2","Available now",45,"Kandy"
"pita kotte",14,"perches","4",3,2600,NA,"3","Available now",35,"Colombo"
"attidiya",24,"perches","above 5",4,5300,2,"4","Available now",135,"Colombo"
"dehiwala",12,"perches","above 5",14,8600,5,"4","Available now",150,"Colombo"
"thalahena",15,"perches","5",5,4200,2,"2","Available now",42,"Colombo"
"nugegoda",6,"perches","3",2,1500,2,"2","Available now",30,"Colombo"
"dehiwala",NA,NA,"4",3,2000,NA,"None","Available now",55,"Colombo"
"colombo 5",10,"perches","5",5,2450,NA,"3","Available now",130,"Colombo"
"wadduwa",NA,NA,"above 5",NA,6000,NA,"None","Available now",180,"Kalutara"
"dehiwala",24.52,"perches","above 5",4,4500,2,"6","Available now",110,"Colombo"
"nugegoda",23,"perches","5",3,5000,3,"2","Available now",120,"Colombo"
"thalahena",20,"perches","above 5",6,4500,3,"6","Available now",97.5,"Colombo"
"thalahena",52,"perches","5",4,10000,3,"5","Available now",95,"Colombo"
"rajagiriya",9.6,"perches","1",1,1200,NA,"1","Available now",18,"Colombo"
"athurugiriya",31,"perches","above 5",4,5200,NA,"3","Available now",55,"Colombo"
"kurunegala",42,"perches","above 5",6,6500,NA,"4","Available now",200,"Kurunegala"
"maharagama",10,"perches","4",4,3200,3,"3","Available now",53,"Colombo"
"moratuwa",10,"perches","4",4,2950,2,"3","Available now",59,"Colombo"
"nugegoda",18,"perches","5",3,NA,NA,"None","Available now",54,"Colombo"
"colombo 5",8.5,"perches","5",5,4600,4,"3","Available now",170,"Colombo"
"pepiliyana",27,"perches","above 5",5,7100,NA,"None","Available now",170,"Colombo"
"pannipitiya",10.5,"perches","above 5",2,2500,NA,"None","Available now",27.5,"Colombo"
"padukka",182,"perches","4",3,7200,NA,"None","Available now",80,"Colombo"
"mattegoda",10.08,"perches","4",4,4000,NA,"None","Available now",29,"Colombo"
"malabe",10.56,"perches","4",3,4000,NA,"None","Available now",49.5,"Colombo"
"kottawa",11,"perches","4",3,3100,NA,"None","Available now",35,"Colombo"
"kottawa",10,"perches","5",2,3000,NA,"None","Available now",19.5,"Colombo"
"kottawa",11,"perches","5",2,2600,NA,"None","Available now",25,"Colombo"
"dehiwala",10.5,"perches","4",4,2500,NA,"None","Available now",60,"Colombo"
"kohuwala",NA,NA,"above 5",9,3500,NA,"5","Available now",67,"Colombo"
"maharagama",NA,NA,"5",4,3000,2,"3","Available now",48,"Colombo"
"battaramulla",7.9,"perches","5",5,4000,3,"2","For Urgent Sale",40,"Colombo"
"boralesgamuwa",6,"perches","3",2,1400,NA,"1","Available now",17.8,"Colombo"
"kohuwala",6.5,"perches","5",3,3000,NA,"None","Available now",38,"Colombo"
"hokandara",19,"perches","3",2,NA,NA,"None","Available now",29,"Colombo"
"yatiyanthota",160,"perches","above 5",2,3600,2,"6","Available soon",50,"Kegalle"
"colombo 5",27,"perches","4",2,3000,NA,"4","Available now",290,"Colombo"
"colombo 8",17.7,"perches","above 5",9,NA,NA,"3","For Urgent Sale",115,"Colombo"
"mount lavinia",NA,NA,"3",3,1500,NA,"1","Available now",45,"Colombo"
"colombo 5",NA,NA,"4",3,2750,2,"1","Available now",70,"Colombo"
"malabe",6,"perches","4",3,1800,2,"2","Available now",26.5,"Colombo"
"piliyandala",10.5,"perches","3",2,1550,1,"2","For Urgent Sale",15.5,"Colombo"
"thalawathugoda",14.8,"perches","5",4,3200,NA,"2","Available now",47.5,"Colombo"
"mabola",NA,NA,"5",4,NA,NA,"None","Available now",45,"Gampaha"
"ethul kotte",18,"perches","above 5",NA,8500,NA,"3","Available now",240,"Colombo"
"colombo 3",16.65,"perches","4",3,NA,2,"2","Available now",NA,"Colombo"
"homagama",10,"perches","4",3,2650,NA,"None","Available now",28,"Colombo"
"colombo 7",NA,NA,"above 5",6,2500,NA,"None","Available now",155,"Colombo"
"athurugiriya",16,"perches","4",4,3180,2,"1","For Urgent Sale",23.5,"Colombo"
"matale",14,"perches","above 5",3,NA,NA,"None","Available now",17.5,"Matale"
"nugegoda",7,"perches","4",5,4000,3,"2","Available now",67.5,"Colombo"
"ragama",26,"perches","4",4,2500,NA,"None","Available now",33.8,"Gampaha"
"polgasowita",20,"perches","4",4,2500,NA,"None","Available now",25,"Colombo"
"pita kotte",10.9,"perches","4",2,2500,NA,"None","Available now",35,"Colombo"
"piliyandala",8,"perches","4",2,2000,NA,"None","Available now",15,"Colombo"
"piliyandala",8.01,"perches","4",4,2500,NA,"None","Available now",27,"Colombo"
"pannipitiya",8.3,"perches","3",2,1700,NA,"None","Available now",18.5,"Colombo"
"pannipitiya",20.5,"perches","above 5",8,10000,3,"4","Available now",185,"Colombo"
"pannipitiya",8.42,"perches","3",2,2000,NA,"None","Available now",25,"Colombo"
"nugegoda",18.75,"perches","4",2,2700,NA,"None","Available now",56.25,"Colombo"
"homagama",33,"perches","5",3,5000,NA,"None","Available now",27,"Colombo"
"athurugiriya",15.5,"perches","3",2,1327,NA,"None","Available now",15,"Colombo"
"thalawathugoda",50.17,"perches","4",3,3000,NA,"None","Available now",110,"Colombo"
"colombo 7",NA,NA,"4",3,6000,NA,"None","Available now",348.5,"Colombo"
"thalawathugoda",31,"perches","4",4,5000,NA,"2","Available now",90,"Colombo"
"kaduwela",9,"perches","3",2,3000,NA,"1","Available now",17,"Colombo"
"hokandara",NA,NA,"above 5",NA,1000,NA,"None","Available now",40,"Colombo"
"battaramulla",11.5,"perches","3",1,1850,NA,"2","Available now",23,"Colombo"
"kandana",8,"perches","4",3,2300,NA,"None","Available now",40,"Gampaha"
"dehiwala",6.3,"perches","3",4,3200,NA,"None","Available now",39,"Colombo"
"battaramulla",6.75,"perches","4",4,3200,NA,"None","Available now",41,"Colombo"
"pita kotte",NA,NA,"4",2,1800,NA,"None","Available now",19.8,"Colombo"
"battaramulla",20,"perches","4",2,3300,NA,"1","Available now",80,"Colombo"
"colombo 9",20,"perches","5",4,3500,NA,"5","Available now",180,"Colombo"
"kadugannawa",63.4,"perches","3",2,NA,NA,"None","Available now",60,"Kandy"
"kohuwala",17.5,"perches","above 5",9,3500,2,"None","Available now",67,"Colombo"
"ja ela",40,"perches","5",2,2500,1,"2","Available now",40,"Gampaha"
"nawala",7,"perches","3",4,2500,NA,"2","Available now",55,"Colombo"
"pita kotte",11.8,"perches","4",3,NA,NA,"3","Available now",58,"Colombo"
"panadura",145,"perches","4",3,3000,2,"None","Available now",55,"Kalutara"
"battaramulla",48,"perches","above 5",10,20000,NA,"None","Available now",500,"Colombo"
"kaduwela",8,"perches","2",2,630,NA,"None","Available now",24.5,"Colombo"
"colombo 7",NA,NA,"3",4,2000,1,"None","Available now",NA,"Colombo"
"battaramulla",20.5,"perches","5",4,2000,2,"2","Available now",75,"Colombo"
"kelaniya",40,"perches","above 5",4,5000,NA,"None","Available now",65,"Gampaha"
"battaramulla",21,"perches","4",3,3000,NA,"None","Available now",50,"Colombo"
"malabe",10.5,"perches","3",2,1190,NA,"None","Available now",16.5,"Colombo"
"colombo 5",8.6,"perches","4",4,2027,2,"2","Available now",130,"Colombo"
"polgasowita",10,"perches","3",1,2000,NA,"None","Available now",18.5,"Colombo"
"malabe",8,"perches","4",3,2800,NA,"None","Available now",29,"Colombo"
"kaduwela",29.5,"perches","4",3,8000,NA,"None","Available now",75,"Colombo"
"kadawatha",10.25,"perches","4",3,2750,NA,"None","Available now",30,"Gampaha"
"ja ela",10,"perches","5",3,3350,2,"2","Available now",30,"Gampaha"
"horana",100,"perches","3",1,1800,2,"None","Available now",30,"Kalutara"
"battaramulla",17.4,"perches","4",4,4000,NA,"2","Available now",120,"Colombo"
"negombo",20,"perches","above 5",6,6000,3,"3","Available now",60,"Gampaha"
"mount lavinia",6.3,"perches","above 5",5,NA,NA,"None","Available now",55,"Colombo"
"colombo 8",NA,NA,"3",3,1710,NA,"None","Available now",37,"Colombo"
"negombo",12.5,"perches","4",2,2650,2,"2","Available now",38.5,"Gampaha"
"nugegoda",6,"perches","3",2,1500,2,"1","Available now",30,"Colombo"
"wattala",16,"perches","above 5",4,5050,3,"2","Available now",70,"Gampaha"
"kandana",23,"perches","above 5",3,3000,NA,"None","Available now",22,"Gampaha"
"piliyandala",8.3,"perches","4",3,1130,NA,"2","Available now",19,"Colombo"
"kadana",8,"perches","3",2,1300,NA,"None","Available now",18,"Gampaha"
"thalawathugoda",13,"perches","4",3,3500,NA,"None","Available now",35,"Colombo"
"piliyandala",21,"perches","4",3,2900,NA,"1","Available now",30,"Colombo"
"pannipitiya",20,"perches","3",2,4000,NA,"None","Available now",23,"Colombo"
"pannipitiya",15.8,"perches","above 5",4,4000,NA,"4","Available now",23,"Colombo"
"colombo 8",18,"perches","2",2,3700,NA,"2","Available now",115,"Colombo"
"colombo 5",8.5,"perches","5",5,4600,NA,"3","Available now",180,"Colombo"
"pelawatte",8.8,"perches","4",2,3500,NA,"None","Available now",45,"Colombo"
"colombo 8",15.5,"perches","4",4,5825,NA,"None","Available now",165,"Colombo"
"nugegoda",11,"perches","5",2,2000,NA,"1","Available now",66,"Colombo"
"pannipitiya",15.4,"perches","above 5",4,NA,NA,"None","Available now",30,"Colombo"
"colombo 8",8.7,"perches","4",3,1900,NA,"1","Available now",85,"Colombo"
"pepiliyana",27,"perches","above 5",5,7100,NA,"None","Available now",170,"Colombo"
"kottawa",10,"perches","5",2,3000,NA,"None","Available now",19.5,"Colombo"
"hokandara",19,"perches","3",2,NA,NA,"None","Available now",29,"Colombo"
"battaramulla",16,"perches","5",5,3000,NA,"4","Available now",85,"Colombo"
"matara",11.64,"perches","3",3,NA,2,"3","Available now",130,"Matara"
"nugegoda",16.75,"perches","4",3,NA,NA,"2","Available now",60,"Colombo"
"welimada",6,"perches","3",2,1600,NA,"2","Available now",6.5,"Badulla"
"kohuwala",6.5,"perches","5",3,3000,NA,"None","Available now",38,"Colombo"
"pannipitiya",10.5,"perches","above 5",2,2500,NA,"None","Available now",27.5,"Colombo"
"malabe",10.56,"perches","4",3,2675,NA,"None","Available now",49.5,"Colombo"
"colombo 7",40,"perches","5",4,6500,2,"6","Available now",800,"Colombo"
"mattegoda",10.08,"perches","4",4,4000,NA,"None","Available now",29,"Colombo"
"colombo 5",27,"perches","4",2,3000,NA,"4","Available now",290,"Colombo"
"ethul kotte",15.8,"perches","4",4,5000,2,"3","Available now",87.5,"Colombo"
"nawala",25,"perches","above 5",4,6500,NA,"3","Available now",120,"Colombo"
"nugegoda",18.75,"perches","4",2,2700,NA,"None","Available now",56.25,"Colombo"
"pannipitiya",8.42,"perches","3",2,2000,NA,"None","Available now",25,"Colombo"
"athurugiriya",15.5,"perches","3",2,1327,NA,"None","Available now",15,"Colombo"
"hokandara",11.75,"perches","4",3,3800,NA,"2","Available now",37.5,"Colombo"
"welisara",45,"perches","4",3,5000,NA,"None","Available now",96,"Gampaha"
"hokandara",19,"perches","4",2,2800,2,"1","Available now",35,"Colombo"
"boralesgamuwa",4.6,"perches","4",2,2600,1,"2","For Urgent Sale",23,"Colombo"
"piliyandala",8,"perches","4",2,2000,NA,"None","Available now",15,"Colombo"
"pannipitiya",20.5,"perches","above 5",8,10000,NA,"4","Available now",185,"Colombo"
"polgasowita",20,"perches","4",4,2500,NA,"None","Available now",25,"Colombo"
"piliyandala",8.01,"perches","4",4,2500,NA,"None","Available now",27,"Colombo"
"colombo 5",7.4,"perches","4",4,3750,3,"3","Available now",90,"Colombo"
"moratuwa",14.5,"perches","4",3,2000,NA,"None","Available now",34,"Colombo"
"pannipitiya",17,"perches","4",1,1390,NA,"None","Available now",22,"Colombo"
"malabe",10.5,"perches","3",2,1190,NA,"None","Available now",16.5,"Colombo"
"malabe",8,"perches","4",3,2800,NA,"None","Available now",29,"Colombo"
"colombo 5",11.15,"perches","4",3,3800,3,"2","Available now",160,"Colombo"
"colombo 5",10,"perches","3",3,3500,2,"2","Available now",120,"Colombo"
"colombo 7",22.53,"perches","above 5",7,11715,3,"6","Available now",600,"Colombo"
"kalubowila",10.5,"perches","5",5,3490,NA,"2","Sold",55,"Colombo"
"nugegoda",6,"perches","3",2,1500,NA,"None","Available now",30,"Colombo"
"ethul kotte",14,"perches","3",2,NA,NA,"None","Available now",67.2,"Colombo"
"moratuwa",9,"perches","5",3,1500,NA,"None","Available now",17.5,"Colombo"
"pita kotte",10.9,"perches","4",2,2500,NA,"None","Available now",35,"Colombo"
"battaramulla",11.5,"perches","2",1,1850,NA,"None","Available now",23,"Colombo"
"ragama",26,"perches","4",4,2500,NA,"None","Available now",33.8,"Gampaha"
"nugegoda",6.5,"perches","4",3,1900,NA,"None","Available now",25,"Colombo"
"nawala",17.7,"perches","above 5",4,3785,3,"4","Available now",172,"Colombo"
"thalawathugoda",18.7,"perches","3",3,4000,2,"3","Available now",55,"Colombo"
"moratuwa",22,"perches","above 5",7,7900,2,"4","Available now",65,"Colombo"
"kurunegala",1.5,"acres","4",2,1800,NA,"None","Available now",11,"Kurunegala"
"kandana",8,"perches","4",3,2300,NA,"None","Available now",40,"Gampaha"
"battaramulla",6.75,"perches","4",4,3200,NA,"None","Available now",41,"Colombo"
"mirihana",11.3,"perches","above 5",5,NA,NA,"None","Available now",50,"Colombo"
"battaramulla",21,"perches","4",4,3800,NA,"None","Available now",60,"Colombo"
"kadawatha",10.25,"perches","4",3,2750,NA,"None","Available now",30,"Gampaha"
"pita kotte",11.8,"perches","4",3,NA,NA,"None","Available now",58,"Colombo"
"battaramulla",17.4,"perches","4",4,4000,NA,"2","Available now",120,"Colombo"
"kaduwela",NA,NA,"4",3,NA,NA,"3","Available now",75,"Colombo"
"pannipitiya",15.8,"perches","above 5",4,4000,NA,"None","Available now",23,"Colombo"
"kerawalapitiya",22,"perches","3",1,NA,NA,"None","Available now",35,"Gampaha"
"battaramulla",NA,NA,"3",2,1369,NA,"None","Available now",37.5,"Colombo"
"wellampitiya",10,"perches","5",2,2200,NA,"None","Available now",NA,"Colombo"
"thalawathugoda",13,"perches","4",3,3500,NA,"None","Available now",35,"Colombo"
"pannipitiya",15.8,"perches","above 5",4,4000,NA,"4","Available now",23,"Colombo"
"colombo 5",8.5,"perches","5",5,4600,NA,"3","Available now",180,"Colombo"
"colombo 8",18,"perches","2",2,3700,NA,"2","Available now",115,"Colombo"
"piliyandala",21,"perches","4",3,2900,NA,"None","Available now",30,"Colombo"
"pannipitiya",20,"perches","3",2,4000,NA,"None","Available now",23,"Colombo"
"pelawatte",8.8,"perches","4",2,3500,NA,"None","Available now",45,"Colombo"
"colombo 8",15.5,"perches","4",4,5825,NA,"None","Available now",165,"Colombo"
"padukka",182,"perches","4",3,7200,NA,"None","Available now",80,"Colombo"
"colombo 7",NA,NA,"4",4,3000,NA,"None","Available now",150,"Colombo"
"kottawa",11,"perches","4",3,3100,NA,"None","Available now",35,"Colombo"
"nugegoda",10.5,"perches","4",4,2500,2,"2","Available now",39.5,"Colombo"
"pepiliyana",NA,NA,"3",3,2200,NA,"1","Available now",35,"Colombo"
"kotikawatta",NA,NA,"5",3,NA,NA,"1","Available now",25,"Colombo"
"kottawa",11,"perches","2",2,2600,NA,"None","Available now",25,"Colombo"
"koswatta",6,"perches","2",1,1300,NA,"None","Available now",17.5,"Colombo"
"hokandara",19,"perches","3",2,NA,NA,"None","Available now",29,"Colombo"
"battaramulla",16,"perches","5",5,3000,NA,"4","Available now",85,"Colombo"
"moratuwa",70,"Perches","3",2,2000,NA,"None","Available now",NA,"Colombo"
"angoda",16,"perches","3",2,NA,NA,"None","Available now",27.5,"Colombo"
"ragama",20,"perches","2",1,NA,NA,"None","Available now",12.5,"Gampaha"
"kotikawatta",NA,NA,"5",3,NA,NA,"None","Available now",25,"Colombo"
"battaramulla",4,"perches","4",2,1500,NA,"2","Available now",20,"Colombo"
"malabe",55,"perches","4",4,3000,NA,"None","Available now",NA,"Colombo"
"pamunugama",55,"perches","4",6,3000,NA,"None","Available now",60,"Gampaha"
"malabe",20,"perches","5",3,4868,NA,"None","Available now",60,"Colombo"
"matale",27.5,"perches","3",2,2480,NA,"2","Available now",50,"Matale"
"kegalle",5,"perches","2",NA,1050,NA,"None","Available now",3.5,"Kegalle"
"colombo 5",7.4,"perches","4",3,3500,NA,"3","Available now",100,"Colombo"
"nugegoda",10.5,"perches","4",4,2500,NA,"2","Available now",40,"Colombo"
"pepiliyana",8,"perches","3",3,2200,NA,"1","Available now",35,"Colombo"
"kotikawatta",NA,NA,"5",3,NA,NA,"2","Available now",25,"Colombo"
"rajagiriya",24,"perches","4",4,4500,2,"2","For Urgent Sale",120,"Colombo"
"matale",30,"perches","above 5",3,2500,NA,"None","Available now",65,"Matale"
"pita kotte",10,"perches","5",3,3000,NA,"None","Available now",60,"Colombo"
"panadura",145,"perches","4",3,3000,NA,"None","Available now",55,"Kalutara"
"horana",100,"perches","3",2,1800,NA,"None","Available now",30,"Kalutara"
"dehiwala",12.5,"perches","3",2,2500,NA,"None","Available now",75,"Colombo"
"horana",37,"perches","2",2,2200,NA,"None","Available now",12,"Kalutara"
"hokandara",19,"perches","3",2,2000,2,"None","Available now",28.5,"Colombo"
"padukka",181,"perches","4",3,6680,NA,"None","Available now",59.5,"Colombo"
"pepiliyana",8,"perches","3",3,2200,NA,"2","Available now",35,"Colombo"
"kiribathgoda",21.35,"perches","3",2,2600,1,"2","Available now",38,"Colombo"
"kalubowila",6,"perches","above 5",5,3000,3,"2","Available now",65,"Colombo"
"thalahena",15,"perches","5",5,4200,NA,"2","Available now",45,"Colombo"
"dehiwala",NA,NA,"above 5",NA,20.16,2,"3","Available now",110.88,"Colombo"
"hokandara",NA,NA,"4",3,5000,NA,"2","Available now",95,"Colombo"
"kerawalapitiya",12.8,"perches","above 5",5,NA,NA,"3","Available now",55,"Gampaha"
"kohuwala",6.5,"perches","5",3,3000,NA,"None","Available now",38,"Colombo"
"pannipitiya",10.5,"perches","above 5",2,2500,NA,"None","Available now",27.5,"Colombo"
"malabe",10.56,"perches","4",3,2675,NA,"None","Available now",49.5,"Colombo"
"mattegoda",10.08,"perches","4",4,4000,NA,"None","Available now",29,"Colombo"
"kiribathgoda",10,"perches","4",2,2900,NA,"None","Available now",30,"Colombo"
"colombo 5",27,"perches","4",2,3000,NA,"4","Available now",290,"Colombo"
"pita kotte",11,"perches","4",3,4500,NA,"None","Available now",65,"Colombo"
"dehiwala",17.11,"perches","above 5",6,4545,2,"None","Available now",62,"Colombo"
"pita kotte",15.4,"perches","above 5",4,NA,NA,"4","Available now",60,"Colombo"
"pepiliyana",8,"perches","3",3,2200,NA,"1","Available now",35,"Colombo"
"colombo 6",9.5,"perches","above 5",2,1000,NA,"2","Available now",40,"Colombo"
"dehiwala",6,"perches","5",5,2200,NA,"2","Available now",47,"Colombo"
"hokandara",10,"perches","3",3,1750,NA,"None","Available now",16,"Colombo"
"athurugiriya",15.5,"perches","3",2,1327,NA,"None","Available now",15,"Colombo"
"colombo 7",20,"perches","3",2,2800,1,"6","For Urgent Sale",310,"Colombo"
"colombo 3",13.5,"perches","4",4,4500,3,"3","Available now",250,"Colombo"
"kandy",14,"perches","3",3,2000,2,"3","Available now",35,"Kandy"
"thalawathugoda",51,"perches","4",3,3000,2,"6","Available now",120,"Colombo"
"dehiwala",12,"perches","above 5",4,NA,2,"4","Available now",85,"Colombo"
"nugegoda",20,"perches","3",2,3800,NA,"None","Available now",175,"Colombo"
"colombo 5",14.2,"perches","4",4,NA,NA,"2","Available now",150,"Colombo"
"ethul kotte",20,"perches","above 5",3,3200,NA,"None","Available now",50,"Colombo"
"pita kotte",17.68,"perches","above 5",6,8500,NA,"3","Available now",240,"Colombo"
"malabe",8,"perches","4",3,2800,NA,"None","Available now",29,"Colombo"
"piliyandala",8,"perches","4",2,2000,NA,"None","Available now",15,"Colombo"
"pannipitiya",20.5,"perches","above 5",8,10000,NA,"None","Available now",185,"Colombo"
"polgasowita",20,"perches","4",4,2500,NA,"None","Available now",25,"Colombo"
"piliyandala",8.01,"perches","4",4,2500,NA,"None","Available now",27,"Colombo"
"mabola",13.5,"perches","3",3,2924,NA,"3","Available now",36,"Gampaha"
"malabe",11,"perches","above 5",3,NA,NA,"3","Available now",30,"Colombo"
"wattala",19,"perches","3",NA,1650,NA,"3","Available now",26,"Gampaha"
"battaramulla",11.5,"perches","3",1,1850,NA,"None","Available now",23,"Colombo"
"moratuwa",9,"perches","5",3,1500,NA,"None","Available now",17.5,"Colombo"
"pannipitiya",8.3,"perches","3",2,1700,NA,"None","Available now",18.5,"Colombo"
"ethul kotte",14,"perches","3",2,NA,NA,"None","Available now",67.2,"Colombo"
"nugegoda",6,"perches","3",2,1500,NA,"None","Available now",30,"Colombo"
