"location","area","unit","bedrooms","bathrooms_w_cs","floor_area","no_of_floors","car_parking_spaces","availability","price","district"
"kandy",34.5,"perches","3",1,1400,1,"3","Available now",30,"Kandy"
"kandy",10,"perches","3",2,1600,2,"1","Available now",13.7,"Kandy"
"dehiwala",6,"perches","above 5",5,2800,3,"2","Available now",55,"Colombo"
"dehiwala",40,"perches","above 5",5,NA,2,"5","For Urgent Sale",135,"Colombo"
"thalahena",23,"Perches","above 5",6,6000,3,"5","Available now",97.5,"Colombo"
"thalawathugoda",122.5,"perches","above 5",7,10900,3,"6","Available now",500,"Colombo"
"colombo 7",17.12,"perches","4",3,3000,2,"2","Available now",335,"Colombo"
"colombo 3",10.1,"perches","4",3,2750,2,"1","Available soon",220,"Colombo"
"malabe",10.5,"perches","3",1,1190,1,"1","Available now",16.5,"Colombo"
"malabe",10,"perches","5",4,4000,3,"2","Available now",48.5,"Colombo"
"battaramulla",20.5,"perches","4",3,2900,2,"2","Available now",48.5,"Colombo"
"thalawathugoda",8,"perches","4",2,NA,2,"2","Available now",44,"Colombo"
"battaramulla",13,"perches","5",4,5000,3,"2","Available now",88.5,"Colombo"
"thalawathugoda",15,"perches","3",2,2700,2,"2","Available now",32,"Colombo"
"dehiwala",8,"perches","5",3,2122,2,"1","Available now",42,"Colombo"
"colombo 8",10.4,"perches","3",2,2817,2,"2","Available now",98,"Colombo"
"battaramulla",7.7,"perches","4",3,3500,3,"2","Available now",44,"Colombo"
"colombo 7",NA,NA,"4",NA,NA,NA,"None","Available now",200,"Colombo"
"colombo 5",NA,NA,"4",4,NA,NA,"None","Available now",120,"Colombo"
"avissawella",448,"perches","5",5,10000,NA,"None","Available now",150,"Colombo"
"nawala",73,"perches","5",5,9600,NA,"None","Available now",565.43,"Colombo"
"nawala",9.5,"perches","5",3,4500,NA,"2","Available now",80,"Colombo"
"koswatta",10,"perches","above 5",6,NA,NA,"None","Available now",49,"Colombo"
"colombo 7",17.3,"perches","above 5",2,NA,NA,"None","Available now",250.85,"Colombo"
"galle",18,"perches","above 5",8,6000,3,"3","For Urgent Sale",58,"Galle"
"mount lavinia",6,"perches","4",3,4100,2,"2","Available now",55,"Colombo"
"athurugiriya",8,"perches","3",3,1450,1,"2","Available now",15,"Colombo"
"gampaha",12.5,"perches","3",2,1350,1,"2","Available now",6,"Gampaha"
"colombo 5",10,"perches","4",5,4500,3,"3","Available now",195,"Colombo"
"battaramulla",13.5,"perches","5",5,3500,2,"3","Available now",95,"Colombo"
"kottawa",14,"perches","4",2,1400,NA,"None","Available now",13,"Colombo"
"panadura",20,"perches","5",3,4000,2,"6","Available now",29.5,"Kalutara"
"ethul kotte",11.7,"perches","above 5",3,NA,NA,"2","Available now",62.5,"Colombo"
"piliyandala",12.6,"perches","4",2,2300,NA,"2","Available now",34,"Colombo"
"athurugiriya",12.85,"perches","4",2,NA,NA,"3","Available now",38,"Colombo"
"nuwara eliya",126,"perches","4",4,11500,2,"5","Available now",450,"Kandy"
"nawala",NA,NA,"4",3,3500,NA,"2","Available now",69,"Colombo"
"nawala",8,"perches","4",3,3200,3,"2","Available now",60,"Colombo"
"gampaha",100,"perches","above 5",5,NA,NA,"None","Available now",170,"Gampaha"
"malabe",7.5,"perches","3",3,1200,NA,"None","Available now",18.5,"Colombo"
"battaramulla",56,"perches","5",3,7500,3,"None","For Urgent Sale",200,"Colombo"
"pannipitiya",20,"perches","3",1,NA,2,"2","Available now",26,"Colombo"
"nugegoda",22,"perches","above 5",NA,NA,NA,"None","Available now",3.2,"Colombo"
"thalawathugoda",25,"perches","4",5,5000,2,"3","Available now",150,"Colombo"
"sapugaskanda",50,"perches","5",4,5000,3,"6","Available now",100,"Gampaha"
"ragama",9.5,"perches","3",2,1968,2,"2","Available now",17.5,"Gampaha"
"kandy",NA,NA,"3",2,1200,NA,"None","Available now",18.5,"Kandy"
"rathmalana",NA,NA,"3",2,1200,NA,"None","Available now",17.85,"Colombo"
"nugegoda",15,"perches","4",5,3500,2,"3","Available now",55,"Colombo"
"negombo",240,"perches","4",4,3000,NA,"None","Available now",32,"Gampaha"
"moratuwa",15,"perches","3",3,NA,2,"None","Available now",45,"Colombo"
"colombo 3",9,"perches","above 5",4,3000,2,"2","Available now",115,"Colombo"
"horana",50,"perches","3",4,4000,1,"None","Available now",20,"Kalutara"
"mawanella",NA,NA,"3",2,1200,NA,"None","Available now",18.5,"Kegalle"
"pelawatte",21,"perches","5",3,2500,2,"4","Available now",85,"Colombo"
"nawala",10,"perches","4",3,4000,3,"2","Available now",83,"Colombo"
"maharagama",10,"perches","4",3,2900,2,"2","Available now",39.5,"Colombo"
"nawala",7,"perches","above 5",4,4000,3,"2","Available now",55,"Colombo"
